,0
A01,0.10567279608190899
A02,0.10397053775695764
B01,0.10577996534287894
B02,0.10196261595458707
B03,0.10979341509103285
B04,0.10633910074681956
B05,0.10754653252243969
B06,0.10378459664765484
B07,0.11088054336622952
B08,0.09981758502160673
B09,0.12298582331796279
B10,0.1257709881816927
B11,0.12464761876181549
B12,0.1271108532519299
B13,0.12430347852594047
B14,0.12319009727522498
B15,0.12736465622358498
B16,0.12381174665366977
B17,0.12469222579588436
B18,0.12413904687567738
B19,0.12071715155215365
B20,0.12306414535525317
B21,0.12720849796077704
B22,0.12656928596209419
B23,0.11669060590099925
B24,0.12009084949706572
C01,0.509024522246673
C02,0.5137588494096524
C03,0.5465366354073588
D01,0.543237324302194
D02,0.5393937376058491
D03,0.5406807845704068
D04,0.5250977226650374
D05,0.5089115854904018
D06,0.5047277225527749
D07,0.5462156692326027
D08,0.5422165428092659
D09,0.5344694031530985
D10,0.5410429847001224
D11,0.5456210846006188
D12,0.11729311878198717
D13,0.32207432535553443
D14,0.3172830173144191
D15,0.3177616720316002
D16,0.31736781800766933
D17,0.3193735878317853
E01,0.3231868801833078
F01,0.31870080533113065
F02,0.32090939985983796
F03,0.1819814924554042
F04,0.1812893222950048
F05,0.17973827151890917
F06,0.11885957922861155
F07,0.1199096527621995
F08,0.11902285018373675
F09,0.11474873782176309
F10,0.11754534013272529
F11,0.11676897039104643
F12,0.11763289255802517
G01,0.2072815670657244
G02,0.2093771669412833
G03,0.2103120540249564
